"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"d:\JS\dataBase\domain\domain.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 5, 45, 225
"d:\JS\dataBase\domain\pages.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 7, 5, 20
"d:\JS\dataBase\domain\themesCl.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 5, 14
"d:\JS\dataBase\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 1, 12, 41
"d:\JS\dataBase\infrastructure\form.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 1, 10, 51
"d:\JS\dataBase\interfaces.d.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 10, 52
"d:\JS\dataBase\launcher\.eslintrc.json", "JSON with Comments", 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\JS\dataBase\launcher\forge.config.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 4, 63
"d:\JS\dataBase\launcher\src\electron.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 12, 14, 70
"d:\JS\dataBase\launcher\src\preload.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 1, 3
"d:\JS\dataBase\launcher\src\renderer.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 27, 3, 34
"d:\JS\dataBase\launcher\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\JS\dataBase\launcher\webpack.main.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 1, 20
"d:\JS\dataBase\launcher\webpack.plugins.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 3, 11
"d:\JS\dataBase\launcher\webpack.renderer.config.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\JS\dataBase\launcher\webpack.rules.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 3, 2, 32
"d:\JS\dataBase\package-lock.json", "JSON", 0, 15466, 0, 0, 0, 0, 0, 1, 15467
"d:\JS\dataBase\package.json", "JSON", 0, 69, 0, 0, 0, 0, 0, 1, 70
"d:\JS\dataBase\path.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\JS\dataBase\port.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 3, 7, 35
"d:\JS\dataBase\public\action.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\JS\dataBase\public\action.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 8, 23
"d:\JS\dataBase\public\css\fonts.css", "PostCSS", 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\JS\dataBase\public\css\form.css", "PostCSS", 0, 0, 0, 0, 0, 257, 32, 48, 337
"d:\JS\dataBase\public\forms.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 6, 22
"d:\JS\dataBase\public\forms.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 7, 25
"d:\JS\dataBase\public\themes.js", "JavaScript", 0, 0, 0, 67, 0, 0, 1, 1, 69
"d:\JS\dataBase\public\themes.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 15, 81
"d:\JS\dataBase\public\ws.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 7, 40
"d:\JS\dataBase\public\ws.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 8, 42
"d:\JS\dataBase\routers\admin.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\JS\dataBase\routers\main.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\JS\dataBase\start.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 4, 2, 9
"d:\JS\dataBase\tsconfig.electron.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\JS\dataBase\tsconfig.json", "JSON with Comments", 0, 0, 24, 0, 0, 0, 7, 8, 39
"d:\JS\dataBase\types.d.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 8, 44
"d:\JS\dataBase\views\index.ejs", "HTML", 0, 0, 0, 0, 98, 0, 7, 14, 119
"d:\JS\dataBase\websocket\ws.controllers.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 15, 120
"d:\JS\dataBase\websocket\ws.router.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 5, 65
"d:\JS\dataBase\websocket\wss.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"Total", "-", 873, 15544, 59, 132, 98, 264, 113, 302, 17385